cpp_line	cpp_opcode	cpp_value	cpp_status	cpp_processing	cpp_handler	cpp_handler_file	cpp_handler_line	cpp_owner_doc	rust_const	rust_registered	rust_file	rust_handler	rust_status	rust_processing	notes
716	CMSG_PERKS_PROGRAM_REQUEST_PENDING_REWARDS	0xBADD	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
717	CMSG_PERKS_PROGRAM_REQUEST_PURCHASE	0xBADD	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
718	CMSG_PERKS_PROGRAM_REQUEST_REFUND	0xBADD	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
719	CMSG_PERKS_PROGRAM_SET_FROZEN_VENDOR_ITEM	0xBADD	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
720	CMSG_PERKS_PROGRAM_STATUS_REQUEST	0xBADD	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
721	CMSG_PETITION_BUY	0x34C8	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandlePetitionBuy	game/Handlers/PetitionsHandler.cpp	37	handlers.md	PetitionBuy	no	-	-	-	-	missing_rust_dispatch
722	CMSG_PETITION_RENAME_GUILD	0x36D1	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandlePetitionRenameGuild	game/Handlers/PetitionsHandler.cpp	188	handlers.md	PetitionRenameGuild	no	-	-	-	-	missing_rust_dispatch
723	CMSG_PETITION_SHOW_LIST	0x34C7	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandlePetitionShowList	game/Handlers/PetitionsHandler.cpp	444	handlers.md	PetitionShowList	no	-	-	-	-	missing_rust_dispatch
724	CMSG_PETITION_SHOW_SIGNATURES	0x34C9	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandlePetitionShowSignatures	game/Handlers/PetitionsHandler.cpp	116	handlers.md	PetitionShowSignatures	no	-	-	-	-	missing_rust_dispatch
725	CMSG_PET_ABANDON	0x348D	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandlePetAbandon	game/Handlers/PetHandler.cpp	609	handlers.md	PetAbandon	no	-	-	-	-	missing_rust_dispatch
726	CMSG_PET_ACTION	0x348B	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandlePetAction	game/Handlers/PetHandler.cpp	65	handlers.md	PetAction	no	-	-	-	-	missing_rust_dispatch
727	CMSG_PET_BATTLE_FINAL_NOTIFY	0xBADD	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
