key	cxx_dist_refs	cxx_dist_defaults	cxx_direct_refs	cxx_direct_defaults	cxx_targets	rust_refs	status	notes
Rate.Drop.Item.Normal	worldserver:server/worldserver/worldserver.conf.dist:2480	worldserver=1	Float:server/game/World/World.cpp:637	Float=1.0f	RATE_DROP_ITEM_NORMAL	crates/world-server/src/main.rs; crates/wow-world/src/handlers/spell.rs	implemented	Represented item loot applies C++ quality drop rate.
Rate.Drop.Item.Poor	worldserver:server/worldserver/worldserver.conf.dist:2479	worldserver=1	Float:server/game/World/World.cpp:636	Float=1.0f	RATE_DROP_ITEM_POOR	crates/world-server/src/main.rs; crates/wow-world/src/handlers/spell.rs	implemented	Represented item loot applies C++ quality drop rate.
Rate.Drop.Item.Rare	worldserver:server/worldserver/worldserver.conf.dist:2482	worldserver=1	Float:server/game/World/World.cpp:639	Float=1.0f	RATE_DROP_ITEM_RARE	crates/world-server/src/main.rs; crates/wow-world/src/handlers/spell.rs	implemented	Represented item loot applies C++ quality drop rate.
Rate.Drop.Item.Referenced	worldserver:server/worldserver/worldserver.conf.dist:2486	worldserver=1	Float:server/game/World/World.cpp:643	Float=1.0f	RATE_DROP_ITEM_REFERENCED	crates/world-server/src/main.rs; crates/wow-world/src/handlers/spell.rs	implemented	Represented reference rows apply C++ referenced drop rate.
Rate.Drop.Item.ReferencedAmount	worldserver:server/worldserver/worldserver.conf.dist:2494	worldserver=1	Float:server/game/World/World.cpp:644	Float=1.0f	RATE_DROP_ITEM_REFERENCED_AMOUNT	crates/world-server/src/main.rs; crates/wow-world/src/handlers/spell.rs	implemented	Represented reference rows apply C++ referenced amount rate.
Rate.Drop.Item.Uncommon	worldserver:server/worldserver/worldserver.conf.dist:2481	worldserver=1	Float:server/game/World/World.cpp:638	Float=1.0f	RATE_DROP_ITEM_UNCOMMON	crates/world-server/src/main.rs; crates/wow-world/src/handlers/spell.rs	implemented	Represented item loot applies C++ quality drop rate.
Rate.Drop.Money	worldserver:server/worldserver/worldserver.conf.dist:2487	worldserver=1	Float:server/game/World/World.cpp:645	Float=1.0f	RATE_DROP_MONEY	crates/world-server/src/main.rs; crates/wow-world/src/handlers/spell.rs	implemented	Represented item money loot applies C++ money drop rate.
Rate.Energy	worldserver:server/worldserver/worldserver.conf.dist:2436	worldserver=1					missing_in_rust	-
Rate.Essence.Loss	worldserver:server/worldserver/worldserver.conf.dist:2449	worldserver=1					missing_in_rust	-
Rate.Focus	worldserver:server/worldserver/worldserver.conf.dist:2435	worldserver=1					missing_in_rust	-
Rate.Fury.Loss	worldserver:server/worldserver/worldserver.conf.dist:2447	worldserver=1					missing_in_rust	-
Rate.Health	worldserver:server/worldserver/worldserver.conf.dist:2431	worldserver=1					missing_in_rust	-
Rate.HolyPower.Loss	worldserver:server/worldserver/worldserver.conf.dist:2442	worldserver=1					missing_in_rust	-
Rate.Honor	worldserver:server/worldserver/worldserver.conf.dist:2572	worldserver=1	Float:server/game/World/World.cpp:693	Float=1.0f	RATE_HONOR		missing_in_rust	-
Rate.Insanity.Loss	worldserver:server/worldserver/worldserver.conf.dist:2445	worldserver=1					missing_in_rust	-
Rate.InstanceResetTime	worldserver:server/worldserver/worldserver.conf.dist:2624	worldserver=1	Float:server/game/World/World.cpp:694	Float=1.0f	RATE_INSTANCE_RESET_TIME		missing_in_rust	-
Rate.LunarPower.Loss	worldserver:server/worldserver/worldserver.conf.dist:2441	worldserver=1					missing_in_rust	-
Rate.Maelstrom.Loss	worldserver:server/worldserver/worldserver.conf.dist:2443	worldserver=1					missing_in_rust	-
Rate.Mana	worldserver:server/worldserver/worldserver.conf.dist:2432	worldserver=1					missing_in_rust	-
Rate.MoveSpeed	worldserver:server/worldserver/worldserver.conf.dist:2614	worldserver=1	Float:server/game/World/World.cpp:701	Float=1.0f	RATE_MOVESPEED		missing_in_rust	-
Rate.Pain.Loss	worldserver:server/worldserver/worldserver.conf.dist:2448	worldserver=1					missing_in_rust	-
Rate.Quest.Money.Max.Level.Reward	worldserver:server/worldserver/worldserver.conf.dist:2524	worldserver=1	Float:server/game/World/World.cpp:753	Float=1.0f	RATE_MONEY_MAX_LEVEL_QUEST		missing_in_rust	-
Rate.Quest.Money.Reward	worldserver:server/worldserver/worldserver.conf.dist:2523	worldserver=1	Float:server/game/World/World.cpp:747	Float=1.0f	RATE_MONEY_QUEST		missing_in_rust	-
Rate.Rage.Gain	worldserver:server/worldserver/worldserver.conf.dist:2433	worldserver=1					missing_in_rust	-
Rate.Rage.Loss	worldserver:server/worldserver/worldserver.conf.dist:2434	worldserver=1					missing_in_rust	-
Rate.RepairCost	worldserver:server/worldserver/worldserver.conf.dist:2531	worldserver=1	Float:server/game/World/World.cpp:654	Float=1.0f	RATE_REPAIRCOST		missing_in_rust	-
Rate.Reputation.Gain	worldserver:server/worldserver/worldserver.conf.dist:2586	worldserver=1	Float:server/game/World/World.cpp:660	Float=1.0f	RATE_REPUTATION_GAIN		missing_in_rust	-
Rate.Reputation.LowLevel.Kill	worldserver:server/worldserver/worldserver.conf.dist:2593	worldserver=1	Float:server/game/World/World.cpp:661	Float=1.0f	RATE_REPUTATION_LOWLEVEL_KILL		missing_in_rust	-
Rate.Reputation.LowLevel.Quest	worldserver:server/worldserver/worldserver.conf.dist:2600	worldserver=1	Float:server/game/World/World.cpp:662	Float=1.0f	RATE_REPUTATION_LOWLEVEL_QUEST		missing_in_rust	-
